"unigram","bigram","trigram","quadgram","freq"
"one","of","the","biggest",31
"the","first","day","of",31
"the","united","states","and",31
"this","time","of","year",31
"to","learn","how","to",31
"to","make","sure","that",31
"you","would","like","to",31
"at","the","beginning","of",30
"have","to","do","is",30
"hope","you","had","a",30
"i","dont","think","i",30
"i","feel","like","im",30
"i","want","to","go",30
"is","one","of","those",30
"on","the","back","of",30
"one","of","the","things",30
"the","majority","of","the",30
"the","past","few","years",30
"the","past","two","years",30
"there","are","a","few",30
"want","to","go","to",30
"was","a","lot","of",30
"was","supposed","to","be",30
"we","look","forward","to",30
"would","you","like","to",30
"you","can","see","the",30
"all","over","the","world",29
"and","i","want","to",29
"awkward","moment","when","you",29
"for","the","sake","of",29
"i","am","not","a",29
"i","didnt","want","to",29
"i","have","to","go",29
"in","a","long","time",29
"it","was","one","of",29
"its","been","a","long",29
"love","you","so","much",29
"me","know","if","you",29
"not","being","able","to",29
"stuck","in","my","head",29
"the","middle","of","a",29
"the","size","of","the",29
"to","take","advantage","of",29
"and","a","couple","of",28
"as","long","as","i",28
"as","you","can","see",28
"at","the","age","of",28
"contributed","to","this","report",28
"end","of","the","year",28
"i","am","so","excited",28
"i","think","this","is",28
"if","you","have","any",28
"in","the","wake","of",28
"on","behalf","of","the",28
"over","and","over","again",28
"over","the","past","few",28
"some","of","the","best",28
"the","time","of","the",28
"there","are","plenty","of",28
"thought","it","would","be",28
"to","be","a","great",28
"to","the","fact","that",28
"what","is","going","on",28
"you","have","to","be",28
"at","the","start","of",27
"can","i","get","a",27
"go","back","to","the",27
"i","can","tell","you",27
"i","have","a","lot",27
"i","think","it","is",27
"in","the","name","of",27
"let","me","know","when",27
"make","the","most","of",27
"makes","me","want","to",27
"thanks","for","following","me",27
"thanks","for","the","retweet",27
"the","fact","that","he",27
"the","heart","of","the",27
"the","s","and","s",27
"to","be","on","the",27
"to","find","a","way",27
"to","go","out","and",27
"to","learn","more","about",27
"a","few","of","the",26
"a","look","at","the",26
